year,school,course,intake
2020,SCHOOL OF ENGINEERING,DIPLOMA IN ROBOTICS & MECHATRONICS,68
2020,SCHOOL OF ENGINEERING,COMMON ENGINEERING PROGRAMME,504
2020,SCHOOL OF ENGINEERING,DIPLOMA IN INFOCOMM & MEDIA ENGINEERING,142
2020,SCHOOL OF ENGINEERING,DIPLOMA IN ELECTRONIC & COMPUTER ENGINEERING,88
2020,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN SOCIAL SCIENCES (SOCIAL WORK),45
2020,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN NURSING,800
2020,SCHOOL OF HEALTH & SOCIAL SCIENCES,DIPLOMA IN ORAL HEALTH THERAPY,24
2020,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN INFORMATION TECHNOLOGY,102
2020,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN BUSINESS INTELLIGENCE & ANALYTICS,38
2020,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN CYBERSECURITY & DIGITAL FORENSICS,59
2020,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN BUSINESS & FINANCIAL TECHNOLOGY,94
2020,SCHOOL OF INFORMATION TECHNOLOGY,DIPLOMA IN INFOCOMM & SECURITY,62
2020,SCHOOL OF INFORMATION TECHNOLOGY,COMMON ICT PROGRAMME,140
2020,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN MOTION GRAPHICS DESIGN,49
2020,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN ANIMATION & VISUAL EFFECTS,120
2020,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN INTERACTION DESIGN,52
2020,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN DIGITAL GAME ART & DESIGN,70
2020,SCHOOL OF INTERACTIVE & DIGITAL MEDIA,DIPLOMA IN GAME DEVELOPMENT & TECHNOLOGY,84
2021,SCHOOL OF APPLIED SCIENCE,DIPLOMA IN PHARMACEUTICAL SCIENCE,84
2021,SCHOOL OF APPLIED SCIENCE,DIPLOMA IN APPLIED CHEMISTRY,46
2021,SCHOOL OF APPLIED SCIENCE,DIPLOMA IN FOOD SCIENCE & NUTRITION,66
2021,SCHOOL OF APPLIED SCIENCE,DIPLOMA IN BIOLOGICS & PROCESS TECHNOLOGY,46
2021,SCHOOL OF APPLIED SCIENCE,DIPLOMA IN CHEMICAL & PHARMACEUTICAL TECHNOLOGY,112
2021,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN FOOD & BEVERAGE BUSINESS,65
2021,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN BUSINESS MANAGEMENT,280
2021,SCHOOL OF BUSINESS MANAGEMENT,COMMON BUSINESS PROGRAMME,232
2021,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN BANKING AND FINANCE,65
2021,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN SPORT & WELLNESS MANAGEMENT,49
2021,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN ACCOUNTANCY & FINANCE,69
2021,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN HOSPITALITY & TOURISM MANAGEMENT,56
2021,SCHOOL OF BUSINESS MANAGEMENT,DIPLOMA IN MASS MEDIA MANAGEMENT,50
2021,SCHOOL OF DESIGN & MEDIA,DIPLOMA IN ARCHITECTURE,50
2021,SCHOOL OF DESIGN & MEDIA,DIPLOMA IN VISUAL COMMUNICATION,68
2021,SCHOOL OF DESIGN & MEDIA,DIPLOMA IN EXPERIENTIAL PRODUCT & INTERIOR DESIGN,107
2021,SCHOOL OF ENGINEERING,DIPLOMA IN ADVANCED & DIGITAL MANUFACTURING,62
2021,SCHOOL OF ENGINEERING,COMMON ENGINEERING PROGRAMME,480
2021,SCHOOL OF ENGINEERING,DIPLOMA IN ENGINEERING WITH BUSINESS,41
2021,SCHOOL OF ENGINEERING,DIPLOMA IN NANOTECHNOLOGY & MATERIALS SCIENCE,40
2021,SCHOOL OF ENGINEERING,DIPLOMA IN ROBOTICS & MECHATRONICS,64
2021,SCHOOL OF ENGINEERING,DIPLOMA IN BIOMEDICAL ENGINEERING,40
2021,SCHOOL OF ENGINEERING,DIPLOMA IN AERONAUTICAL & AEROSPACE TECHNOLOGY,41
2021,SCHOOL OF ENGINEERING,DIPLOMA IN AEROSPACE SYSTEMS & MANAGEMENT,40
2021,SCHOOL OF ENGINEERING,DIPLOMA IN ELECTRONIC & COMPUTER ENGINEERING,83
